loc,folio,line_order,token_position,token,role,module,status,meta_I,meta_L,meta_H,line_marker_family,stratum_I_L_H_marker,semantic_function,pass20_tier
"f1v.2,+P0",f1v,30,6,lkody,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.2,+P0",f1v,30,7,okodar,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.2,+P0",f1v,30,8,chody,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,1,dackhy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,2,ckhockhy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,3,shy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,4,dksheey,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,5,cthy,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,6,kotchody,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.3,+P0",f1v,31,7,dal,R09,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f2r.11,+P0",f2r,49,1,ychain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,2,dal,R09,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,3,chy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,4,dalor,R09,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,5,shan,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,6,dan,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,7,olsaiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,8,sheey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.11,+P0",f2r,49,9,ckhor,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f2r.14,@Lp",f2r,52,1,ytoail,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,label_or_marginal,H|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f2r.15,@L0",f2r,53,1,ios,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,label_or_marginal,H|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f2r.15,@L0",f2r,53,2,an,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,label_or_marginal,H|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f2r.15,@L0",f2r,53,3,on,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,label_or_marginal,H|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3r.5,+P0",f3r,66,1,qokol,H08,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.5,+P0",f3r,66,2,chololy,R07,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.5,+P0",f3r,66,3,s,R06,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.5,+P0",f3r,66,4,cham,R00,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.5,+P0",f3r,66,5,cthol,R07,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.8,+P0",f3r,69,1,ysheor,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.8,+P0",f3r,69,2,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.8,+P0",f3r,69,3,chol,R07,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.8,+P0",f3r,69,4,oky,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.8,+P0",f3r,69,5,dago,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.9,+P0",f3r,70,1,sho,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.9,+P0",f3r,70,2,vor,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.9,+P0",f3r,70,3,sheoldam,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.9,+P0",f3r,70,4,otchody,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.9,+P0",f3r,70,5,ol,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.10,+P0",f3r,71,1,ydar,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3r.10,+P0",f3r,71,2,cholcthom,R07,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3r.20,+P0",f3r,81,1,ycheor,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,2,chol,R07,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,3,odaiin,R10,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,4,chol,R07,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,5,s,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,6,aiin,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,7,okolor,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3r.20,+P0",f3r,81,8,am,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.5,+P0",f3v,86,1,ychear,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3v.5,+P0",f3v,86,2,otchal,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3v.5,+P0",f3v,86,3,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3v.5,+P0",f3v,86,4,char,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3v.5,+P0",f3v,86,5,ckh,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f3v.6,+P0",f3v,87,1,or,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.6,+P0",f3v,87,2,cheor,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.6,+P0",f3v,87,3,kor,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.6,+P0",f3v,87,4,chodaly,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.6,+P0",f3v,87,5,chom,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.7,+P0",f3v,88,1,tchor,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.7,+P0",f3v,88,2,otcham,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.7,+P0",f3v,88,3,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.7,+P0",f3v,88,4,cfham,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.7,+P0",f3v,88,5,s,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.10,+P0",f3v,91,1,ochos,R00,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.10,+P0",f3v,91,2,daiin,R10,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.10,+P0",f3v,91,3,qokshol,H08,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.10,+P0",f3v,91,4,daiim,R06,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.10,+P0",f3v,91,5,chol,R07,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.10,+P0",f3v,91,6,okary,R00,G1,FORMAL_G1_GLOBAL_FRAME,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,relational frame / record line,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.11,+P0",f3v,92,1,sho,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f3v.11,+P0",f3v,92,2,shockho,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
