loc,folio,line_order,tokens,neutral_roles,pass20_tier,tier_simple,pass16h_final_status,module_short,semantic_function,meta_I,meta_L,meta_H,line_marker_family,functional_gloss_sequence,functional_pseudotranslation,external_translation_status
"f3r.9,+P0",f3r,70,sho vor sheoldam otchody ol,R06 R00 R00 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3r.10,+P0",f3r,71,ydar cholcthom,R06 R07,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3r.20,+P0",f3r,81,ycheor chol odaiin chol s aiin okolor am,R06 R07 R10 R07 R06 R06 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD LABEL-FIELD,LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3v.5,+P0",f3v,86,ychear otchal chor char ckh,R06 R00 R11 R11 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-LEX LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-LEX / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3v.6,+P0",f3v,87,or cheor kor chodaly chom,R06 R00 R06 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,FUNC-PARTICLE LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3v.7,+P0",f3v,88,tchor otcham chor cfham s,R06 R00 R11 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-LEX LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / LABEL-LEX / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3v.10,+P0",f3v,91,ochos daiin qokshol daiim chol okary,R00 R10 H08 R06 R07 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,H,A,1,paragraph_continuation,ARG/FILL FUNC-PARTICLE OP/HEAD ARG/FILL FUNC-PARTICLE LABEL-LEX,ARG/FILL / FUNC-PARTICLE / OP/HEAD / ARG/FILL / FUNC-PARTICLE / LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3v.11,+P0",f3v,92,sho shockho ckhy tchor chodaiin chom,R06 R00 R00 R06 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4r.7,+P0",f4r,102,qotaiin cthol daiin cthom,H13 R07 R10 R04,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,H,A,1,paragraph_continuation,OPERATOR ARG/FILL FUNC-PARTICLE QUAL/TAIL,OPERATOR / ARG/FILL / FUNC-PARTICLE / QUAL/TAIL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4r.12,+P0",f4r,107,soiin chaiin chaiin,R06 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-LEX LABEL-LEX,LABEL-FIELD / LABEL-LEX / LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.1,@P0",f4v,109,pchooiin ksheo kchoy chopchy dolds dlod,R00 R06 R06 R00 R06 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_start,ARG/FILL ARG/FILL ARG/FILL ARG/FILL ARG/FILL ARG/FILL,ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.2,+P0",f4v,110,ol chey chy cthy shkchor sheo cheory choldy,R06 R06 R00 R04 R00 R06 R00 R07,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE QUAL/TAIL ARG/FILL ARG-LEX ARG/FILL ARG/FILL,FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / QUAL/TAIL / ARG/FILL / ARG-LEX / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.6,+P0",f4v,114,ytchoy shokchy cphody,R06 R00 R05,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,ARG/FILL ARG/FILL ARG/FILL,ARG/FILL / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.7,+P0",f4v,115,torchy sheeor chor chokch cphydy,R06 R06 R11 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,ARG/FILL ARG/FILL LABEL-LEX ARG/FILL ARG/FILL,ARG/FILL / ARG/FILL / LABEL-LEX / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.8,+P0",f4v,116,oleeeb chor cthol sho otor cthory,R00 R11 R07 R06 R00 R04,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,ARG/FILL LABEL-LEX ARG/FILL ARG/FILL ARG/FILL QUAL/TAIL,ARG/FILL / LABEL-LEX / ARG/FILL / ARG/FILL / ARG/FILL / QUAL/TAIL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.13,+P0",f4v,121,shody s cheor chokody shodaiin qoty,R06 R06 R00 R00 R05 H01,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL ARG/FILL FUNC-PARTICLE,ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / ARG/FILL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f4v.14,+P0",f4v,122,ochody chykey chtody,R00 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f5v.1,@P0",f5v,130,kocheor chor ytchey pshod chols chodaiin ytoiiin daiin,R00 R11 R06 R06 R00 R00 R00 R10,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_start,LABEL-FIELD LABEL-LEX LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-LEX / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f5v.2,+P0",f5v,131,dchol chol otaiin dain cthor chots ychopordg,R06 R07 R10 R06 R04 R00 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD LABEL-FIELD LABEL-FIELD,LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6r.2,+P0",f6r,137,daiin chckhy chor chor kar cthy cthor chotols,R10 R00 R11 R11 R06 R04 R04 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE LABEL-LEX LABEL-LEX LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,FUNC-PARTICLE / FUNC-PARTICLE / LABEL-LEX / LABEL-LEX / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6r.6,+P0",f6r,141,or al daiin ckham okom cthaiin ydaiin,R06 R06 R10 R00 R00 R04 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6r.8,+P0",f6r,143,ychol ckhor pchar sheo ckhaiin,R06 R00 R06 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD ARG-LEX LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / ARG-LEX / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6r.9,+P0",f6r,144,dar sheol skaiiodar otaiin chory,R06 R06 R00 R10 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE LABEL-FIELD,FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.6,+P0",f6v,155,tchody shocthol choy s,R06 R00 R00 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.7,+P0",f6v,156,ychos ychol daiin cthol dol,R06 R06 R10 R07 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.13,+P0",f6v,162,yodaiin cthy s chor oees or,R10 R04 R06 R11 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-LEX LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-LEX / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.14,+P0",f6v,163,qokor chol cthol tchalody,H08 R07 R07 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,H,A,1,paragraph_continuation,OP/HEAD FUNC-PARTICLE ARG/FILL ARG/FILL,OP/HEAD / FUNC-PARTICLE / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.17,+P0",f6v,166,ychaies ckhal cthodam dy,R00 R00 R04 R02,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.18,+P0",f6v,167,ytchocthol ches or,R07 R00 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f6v.21,+P0",f6v,170,ycheor chor octham,R06 R11 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-LEX LABEL-FIELD,LABEL-FIELD / LABEL-LEX / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f7r.1,@P0",f7r,171,fchodaiin shopchey qko shey qoos sheey charochy,R10 R00 R00 R06 H07 R06 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_start,QUAL/TAIL ARG/FILL ARG/FILL FUNC-PARTICLE OP/HEAD FUNC-PARTICLE ARG/FILL,QUAL/TAIL / ARG/FILL / ARG/FILL / FUNC-PARTICLE / OP/HEAD / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f7r.3,+P0",f7r,173,oeeees cheodaiin sheey ytcheey qotchy chald,R00 R10 R06 R00 H13 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,ARG/FILL QUAL/TAIL FUNC-PARTICLE ARG/FILL OPERATOR ARG/FILL,ARG/FILL / QUAL/TAIL / FUNC-PARTICLE / ARG/FILL / OPERATOR / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f7r.4,+P0",f7r,174,qokcho cho lochey daiin ychey kchos odaiin,H08 R00 R00 R10 R06 R06 R10,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,H,A,1,paragraph_continuation,OP/HEAD ARG/FILL ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL QUAL/TAIL,OP/HEAD / ARG/FILL / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / QUAL/TAIL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f7r.5,+P0",f7r,175,oaiir otaiin,R00 R10,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f7r.9,+P0",f7r,179,qokechy olchoiin chol cphey shckhy chochy kchod,H08 R00 R07 R00 R06 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,H,A,1,paragraph_continuation,OP/HEAD ARG/FILL FUNC-PARTICLE ARG/FILL ARG-LEX ARG/FILL ARG/FILL,OP/HEAD / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG-LEX / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f7v.9,+P0",f7v,189,sho keeo daiir chokchy dor deol dy doldaiin,R06 R06 R06 R00 R06 R06 R02 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f8r.1,@P0",f8r,190,pshol chor otshal chopy cphl chody shy cfhodar shor,R06 R11 R00 R00 R00 R00 R06 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_start,LABEL-FIELD LABEL-LEX LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-LEX / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f8r.8,=Pt",f8r,197,dcho dain,R06 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_terminal_or_label,LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
